PCBIndex,PadID,Step,StepOrderNo,ShapeID,SizeArea,ComponentID,PosX,PosY,SizeX,SizeY,Volume,Height,Area,OffsetX,OffsetY,Result,RealVol,RealArea,PinNumber,BRDir,BRLength,SHLength,SHBal,Array,ScaleX,ScaleY,ShapeError,BridgeError,MaxHeight,RealSizeX,RealSizeY,Frame,Group,ApertureSizeX,ApertureSizeY,PadComment,OffsetInFrmX,OffsetInFrmY,SizeInFrmX,SizeInFrmY,MultiResult,AreaRatio,CorrectedResult,BridgedPadsNum
2399,788,0,0,2,266908.5,TP7_1,76.14999,4.749997,170.0056,1569.998,162.6344,113.0872,143.8133,9.934609,-131.0822,4,4.34085E+07,383849.9,10,3,0,0,0,1,14.85793,14.86469,0,0,197.5961,307.7208,1557.557,14,2,0,0," ",959,1846,33,126,34832,0.766954,0,0
2399,789,0,0,2,266897.1,TP7_1,76.55,4.749997,169.9984,1569.998,158.3606,111.7682,141.6866,5.131037,-111.7684,4,4.226597E+07,378157.5,9,3,0,0,0,1,14.85806,14.86471,0,0,191.1919,306.569,1541.89,14,2,0,0," ",986,1846,33,126,34832,0.766954,0,0
2399,790,0,0,2,266897.1,TP7_1,76.95,4.749997,169.9984,1569.998,164.7213,112.0474,147.0104,6.61651,-115.9993,4,4.396363E+07,392366.4,8,3,0,0,0,1,14.85813,14.86463,0,0,205.1274,333.7928,1564.323,14,2,0,0," ",1013,1846,32,126,34832,0.766954,0,0
2399,791,0,0,2,266895.7,TP7_1,77.35,4.749997,169.9975,1569.998,168.4144,115.8604,145.3598,9.794263,-125.2383,4,4.494908E+07,387958.9,7,3,0,0,0,1,14.85826,14.86414,0,0,204.9213,308.717,1561.997,14,2,0,0," ",1040,1846,32,126,34832,0.766954,0,0
2399,792,0,0,2,266907.1,TP7_1,77.75,4.749997,170.0047,1569.998,169.2426,116.2358,145.6029,12.38984,-134.0447,4,4.517206E+07,388624.3,6,3,0,0,0,1,14.85838,14.86482,0,0,197.2302,317.9697,1545.736,14,2,0,0," ",1067,1846,32,126,34832,0.766954,0,0
2399,793,0,0,2,266909.9,TP7_1,78.14999,4.749997,170.0065,1569.998,169.5163,116.4685,145.5469,8.854875,-111.7168,4,4.524559E+07,388479.1,5,3,0,0,0,1,14.85849,14.8646,0,0,215.4642,320.3462,1535.718,14,2,0,0," ",1094,1846,32,126,34832,0.766954,0,0
2399,794,0,0,2,266898.5,TP7_1,78.55,4.749997,169.9993,1569.998,168.3002,114.45,147.0513,8.27088,-124.6951,4,4.491907E+07,392477.8,4,3,0,0,0,1,14.85856,14.8647,0,0,205.2731,316.1508,1558.362,14,2,0,0," ",1121,1846,32,125,34832,0.766954,0,0
2399,795,0,0,2,266898.5,TP7_1,78.95,4.749997,169.9993,1569.998,166.2582,114.2412,145.5327,3.937794,-132.7927,4,4.437406E+07,388424.5,3,3,0,0,0,1,14.85878,14.86523,0,0,203.0292,361.1725,1548.568,14,2,0,0," ",1148,1845,32,126,34832,0.766954,0,0
2399,796,0,0,2,266898.5,TP7_1,79.35,4.749997,169.9993,1569.998,168.722,115.9553,145.5062,5.269186,-131.9592,4,4.503166E+07,388353.7,2,3,0,0,0,1,14.85892,14.86497,0,0,201.8616,324.4477,1555.131,14,2,0,0," ",1175,1845,32,126,34832,0.766954,0,0
2399,797,0,0,2,266909.9,TP7_1,79.75,4.749997,170.0065,1569.998,178.0806,115.5076,154.1722,13.01064,-110.3414,4,4.753148E+07,411500.8,1,3,0,0,0,1,14.85894,14.8651,0,0,204.2595,328.6833,1598.556,14,2,0,0," ",1201,1845,33,126,18448,0.766954,0,0
2399,798,0,0,2,266897,TP7_2,92.95,5.749997,169.9982,1569.999,107.9535,93.12593,115.922,9.0853,-95.4044,1,2.881245E+07,309392.4,1,3,0,0,0,1,14.85416,14.86125,0,0,159.0193,253.1788,1521.549,13,2,0,0," ",105,1854,33,126,0,0.766954,0,0
2399,799,0,0,2,266897,TP7_2,93.35,5.749997,169.9982,1569.999,105.5819,93.40584,113.0357,8.377716,-92.45415,1,2.81795E+07,301688.9,2,3,0,0,0,1,14.85503,14.86204,0,0,158.9007,247.153,1499.39,13,2,0,0," ",132,1854,33,126,0,0.766954,0,0
2399,800,0,0,2,266909.1,TP7_2,93.75,5.749997,170.0059,1569.999,100.2169,90.68649,110.5092,7.064923,-105.6181,1,2.674882E+07,294959.2,3,3,0,0,0,1,14.8552,14.8623,0,0,172.7194,250.8909,1502.929,13,2,0,0," ",160,1854,32,126,0,0.766954,0,0
2399,801,0,0,2,266909.1,TP7_2,94.14999,5.749997,170.0059,1569.999,102.5257,88.80964,115.4444,7.830998,-104.1987,1,2.736505E+07,308131.6,4,3,0,0,0,1,14.85505,14.8622,0,0,162.6645,258.548,1540.478,13,2,0,0," ",187,1852,32,127,0,0.766954,0,0
2399,802,0,0,2,266897,TP7_2,94.55,5.749997,169.9982,1569.999,97.60625,89.24036,109.3746,6.519171,-93.49522,1,2.605082E+07,291917.4,5,3,0,0,0,1,14.85537,14.86228,0,0,162.6788,242.2563,1515.162,13,2,0,0," ",214,1853,32,126,0,0.766954,0,0
2399,803,0,0,2,266897,TP7_2,94.95,5.749997,169.9982,1569.999,98.66452,88.30562,111.7307,3.080074,-84.6151,1,2.633326E+07,298206,6,3,0,0,0,1,14.85544,14.86271,0,0,160.2744,240.5593,1523.614,13,2,0,0," ",241,1853,32,126,0,0.766954,0,0
2399,804,0,0,2,266896.6,TP7_2,95.35,5.749997,169.9979,1569.999,102.8593,91.5561,112.3457,9.167961,-91.91055,1,2.74528E+07,299846.8,7,3,0,0,0,1,14.85589,14.86244,0,0,169.7905,237.6548,1508.971,13,2,0,0," ",268,1853,32,126,0,0.766954,0,0
2399,805,0,0,2,266908.8,TP7_2,95.75,5.749997,170.0056,1569.999,101.6962,90.83852,111.9527,8.850588,-116.8952,1,2.714361E+07,298811.6,8,3,0,0,0,1,14.85586,14.86226,0,0,178.4175,255.4004,1537.655,13,2,0,0," ",294,1853,33,126,0,0.766954,0,0
2399,806,0,0,2,266908.8,TP7_2,96.14999,5.749997,170.0056,1569.999,103.5844,90.43547,114.5396,7.761593,-107.5196,1,2.764759E+07,305716.3,9,3,0,0,0,1,14.85583,14.86231,0,0,181.4134,275.5135,1522.919,13,2,0,0," ",321,1853,33,126,0,0.766954,0,0
2399,807,0,0,2,266897.4,TP7_2,96.55,5.749997,169.9984,1569.999,103.9791,89.69193,115.9292,9.664913,-108.6571,1,2.775175E+07,309411.9,10,3,0,0,0,1,14.85598,14.86206,0,0,165.8338,258.6328,1510.682,13,2,0,0," ",348,1853,33,126,0,0.766954,0,0
2399,808,0,0,2,266910.1,TP7_3,109.75,6.749997,170.0065,1569.999,117.7476,96.97141,121.4251,7.698442,-84.6143,15,3.142802E+07,324095.8,1,3,0,0,0,1,14.85995,14.86257,0,0,147.8062,264.0598,1534.043,13,2,0,0," ",1237,1783,32,127,32768,0.766954,0,0
2399,809,0,0,2,266910.1,TP7_3,110.15,6.749997,170.0065,1569.999,116.854,97.63165,119.6887,5.895399,-72.30469,1,3.118952E+07,319461.2,2,3,0,0,0,1,14.86003,14.86374,0,0,153.6289,256.9832,1520.05,13,2,0,0," ",1264,1783,32,127,0,0.766954,0,0
2399,810,0,0,2,266898.8,TP7_3,110.55,6.749997,169.9993,1569.999,122.7072,101.0902,121.3839,2.818913,-59.80569,11,3.275041E+07,323972.2,3,3,0,0,0,1,14.86006,14.86298,0,0,168.9967,295.0354,1513.531,13,2,0,0," ",1291,1783,32,127,34816,0.766954,0,0
